seedName,seedType,seedPop
Akkaraipattu,MC,
Ambalangoda,UC,21100
Ampara,UC,19570
Anuradhapura,MC,61242
Avissawella,?,22408
Badulla,MC,42733
Bandarawela,MC,
Batticaloa,MC,101419
Beruwala,UC,37682
Chavakachcheri,UC,14780
Chilaw,UC,25865
Colombo,MC,671407
Dambulla,MC,
Dehiwala-Mount Lavinia,MC,218455
Galle Four Gravets,MC,96588
Gampaha,MC,64101
Gampola,UC,26034
Hambantota,?,12615
Ja-Ela,UC,34482
Jaffna,MC,93854
K.F.G. & G. Korale,MC,117227
Kaduwela,MC,
Kalmunai,MC,103074
Kalutara,UC,42696
Kattankudy,?,43881
Katunayake (Seeduwa-Katunayake),UC,81789
Kegalle,UC,18293
Kilinochchi,?,19024
Kinniya,UC,38660
Kolonnawa,UC,57420
Kurunegala,MC,31381
Mannar Town,UC,13109
Matale,MC,40047
Matara Four Gravets,MC,81235
Moneragala,?,7666
Moratuwa,MC,184233
Mullaitivu,?,
Negombo,MC,135765
Nuwara Eliya,MC,25515
Panadura,UC,38114
Peliyagoda,UC,33333
Point Pedro,UC,11512
Polonnaruwa,?,
Puttalam,UC,44811
Ratnapura,MC,49186
Sri Jayawardanapura Kotte,MC,120737
Trincomalee Town and Gravets,UC,66507
Valvettithurai,UC,6318
Vavuniya,UC,72169
Wattala,UC,32186
Weligama,UC,23206
